count,neighborhood,overlap,overlap_pct
70,bucktown,14.2606932177,0.203724188824
24,norwood-park,4.80118136452,0.200049223522
7,canaryville,4.47635343109,0.639479061584
6,gladstone-park,2.26012570039,0.376687616732
16,mckinley-park,4.74795783471,0.296747364669
16,sauganash,4.9397649354,0.308735308463
9,west-beverly,2.27409586129,0.252677317921
7,montclare,1.83719344864,0.262456206949
20,river-west,4.09940665999,0.204970333
1,west-pullman,1.0,1.0
77,lakeview,12.0014807827,0.155863386788
20,old-irving-park,9.99963927723,0.499981963862
63,south-loop,13.5943074603,0.2157826581
12,bronzeville,1.93279330403,0.161066108669
49,noble-square,9.34551036568,0.19072470134
73,uptown,17.8306986837,0.244256146352
7,west-humboldt-park,2.82134247989,0.403048925699
50,albany-park,9.88324217352,0.19766484347
2,pullman,1.26173146093,0.630865730465
51,jefferson-park,6.9888277468,0.137035838173
6,ravenswood-gardens,2.43753634028,0.406256056713
9,west-lawn,2.64100818092,0.293445353436
36,gold-coast,7.90312997643,0.219531388234
24,mayfair,5.9117017894,0.246320907892
3,chicago-lawn,1.31115590107,0.437051967023
10,kenwood,3.93934023925,0.393934023925
29,edison-park,5.51870551451,0.190300190156
72,ukrainian-village,13.7157633586,0.190496713314
5,greektown,3.15576726234,0.631153452468
4,grand-crossing,1.78880520373,0.447201300932
43,river-north,8.32752445723,0.19366335947
3,oakland,1.44872712418,0.482909041393
6,back-of-yards,1.71153138063,0.285255230105
3,washington-park,1.96486480781,0.654954935937
13,ravenswood-manor,5.71480599038,0.439600460798
10,independence-park,3.0951960755,0.30951960755
3,east-garfield-park,2.03921559962,0.679738533207
12,ashburn,2.45637489818,0.204697908182
46,wrigleyville,6.96251398629,0.151358999702
1,south-austin,1.0,1.0
64,pilsen,12.1396316849,0.189681745077
74,lincoln-square,15.211710626,0.205563657108
66,avondale,17.2197676219,0.260905570029
2,auburn-gresham,1.02570927229,0.512854636145
11,east-side,4.7973468467,0.436122440609
2,south-deering,1.03532805454,0.51766402727
14,garfield-ridge,6.0563046533,0.432593189521
4,englewood,2.18737585469,0.546843963672
9,tri-taylor,1.67782668452,0.186425187169
78,ravenswood,9.74349199787,0.124916564075
54,bridgeport,15.4310865444,0.285760861933
75,logan-square,16.5446216422,0.220594955229
2,chinatown,1.21341309849,0.606706549245
5,armour-square,1.31669789843,0.263339579686
37,mt-greenwood,5.12308532227,0.138461765467
44,beverly,12.8490254482,0.292023305641
14,university-village,3.41992065788,0.244280046991
58,rogers-park,13.667161685,0.235640718707
13,north-park,2.96486802917,0.228066771475
10,morgan-park,2.99404716723,0.299404716723
31,loop,6.5467143982,0.211184335426
64,humboldt-park,9.18404600279,0.143500718794
10,near-west-side,2.45431248703,0.245431248703
64,hyde-park,16.2779739664,0.254343343225
15,little-italy,2.50739193459,0.167159462306
1,brainerd,1.0,1.0
23,belmont-cragin,2.81614363125,0.122441027446
48,west-town,7.79270353166,0.162347990243
54,irving-park,5.74472485024,0.106383793523
23,dunning,4.52771073112,0.19685698831
12,buena-park,4.1472917922,0.34560764935
70,edgewater,9.29909333814,0.132844190545
1,west-englewood,1.0,1.0
3,gage-park,1.79637859037,0.598792863457
2,heart-of-italy,1.17236587326,0.58618293663
7,west-elsdon,1.94022075756,0.277174393937
4,roseland,1.88544553785,0.471361384462
44,boystown,8.47792245497,0.192680055795
10,clearing,2.95653134876,0.295653134876
70,andersonville,5.90792341422,0.0843989059174
58,east-village,7.13389402395,0.122998172827
2,douglas,1.7848026652,0.8924013326
62,roscoe-village,14.7645917436,0.23813857651
6,galewood,3.15589713312,0.52598285552
7,forest-glen,2.75482962753,0.393547089647
8,south-chicago,2.76704582652,0.345880728315
3,altgeld-gardens,1.0,0.333333333333
9,hermosa,2.88287534277,0.32031948253
30,west-ridge,11.2727207232,0.37575735744
6,archer-heights,1.47315991408,0.245526652347
14,edgebrook,5.09722528703,0.364087520502
29,streeterville,4.48518108314,0.15466141666
6,hegewisch,2.60956234849,0.434927058082
27,west-rogers-park,6.92357541988,0.256428719255
2,pill-hill,1.34833939786,0.67416969893
52,portage-park,10.26006845,0.197309008654
10,heart-of-chicago,3.41454312614,0.341454312614
1,grand-boulevard,1.0,1.0
71,wicker-park,18.3441115569,0.258367768407
70,lincoln-park,8.88993172437,0.126999024634
8,chatham,2.0607889192,0.2575986149
5,south-shore,3.2539852247,0.65079704494
3,downtown,1.89047100664,0.630157002213
8,woodlawn,3.12854755893,0.391068444866
18,little-village,7.60665409614,0.42259189423
8,brighton-park,3.12853739394,0.391067174242
33,old-town,7.15095234403,0.216695525577
72,north-center,11.6674217326,0.162047524064
1,jackson-highlands,1.0,1.0
4,ohare,1.97075691494,0.492689228735
11,austin,3.92069887953,0.356427170866
62,west-loop,14.0700553846,0.226936377171
